"X","Y","G_obs","p_value","Coef_b11"
"Lophius_budegassa_juv","Sardina_pilchardus",0,0.757,0.04
"Mullus_barbatus_adu","Sardina_pilchardus",0,0.8,0.04
"Engraulis_encrasicolus","Sardina_pilchardus",0,0.869,-0.04
"Eledone_cirrhosa_juv","Engraulis_encrasicolus",0,0.816,-0.04
"Helicolenus_dactylopterus_juv","Engraulis_encrasicolus",0,0.735,0.04
"Nephrops_norvegicus_adu","Engraulis_encrasicolus",0,0.85,-0.04
"Illex_coindetii","Eledone_cirrhosa_juv",0,0.609,-0.05
"Eutrigla_gurnardus_juv","Eledone_cirrhosa_adu",0,0.811,0.05
"Sardina_pilchardus","Eledone_cirrhosa_adu",0,0.767,0.05
"Citharus_linguatula","Lophius_budegassa_adu",0,0.732,0.05
"Phycis_blennoides_adu","Merluccius_merluccius_adu",0,0.834,0.05
"Lophius_budegassa_adu","Sardina_pilchardus",0,0.816,0.05
"Trisopterus_capelanus_juv","Lophius_budegassa_adu",0,0.655,0.06
"Octopus_vulgaris","Merluccius_merluccius_adu",0,0.767,0.06
"Merluccius_merluccius_juv","Eledone_cirrhosa_juv",0,0.638,0.07
"Eutrigla_gurnardus_juv","Merluccius_merluccius_juv",0,0.81,0.07
"Nephrops_norvegicus_juv","Lophius_budegassa_adu",0,0.652,-0.07
"Nephrops_norvegicus_adu","Lophius_budegassa_adu",0,0.757,-0.07
"Solea_solea","Lophius_budegassa_juv",0,0.648,0.08
"Trisopterus_capelanus_adu","Eledone_cirrhosa_adu",0,0.742,-0.08
"Eutrigla_gurnardus_adu","Eledone_cirrhosa_juv",0,0.605,0.09
"Trachurus_trachurus_juv","Lophius_budegassa_juv",0,0.566,0.09
"Zeus_faber","Lophius_budegassa_juv",0,0.639,-0.09
"Eutrigla_gurnardus_adu","Lophius_budegassa_adu",0,0.616,0.09
"Lophius_budegassa_adu","Lophius_budegassa_juv",0,0.722,0.11
"Eledone_cirrhosa_adu","Lophius_budegassa_adu",0,0.585,0.11
"Lepidorhombus_boscii","Eledone_cirrhosa_adu",0,0.706,-0.12
"Lepidorhombus_boscii","Lophius_budegassa_adu",0,0.69,0.12
"Helicolenus_dactylopterus_adu","Eledone_cirrhosa_juv",0,0.573,0.15
"Lepidorhombus_boscii","Lophius_budegassa_juv",0,0.688,-0.17
"Nephrops_norvegicus_adu","Mullus_barbatus_adu",0,0.31,-0.19
"Helicolenus_dactylopterus_adu","Lophius_budegassa_juv",0,0.579,-0.21
"Lophius_budegassa_juv","Eledone_cirrhosa_juv",-0.01,0.984,0
"Eutrigla_gurnardus_juv","Lophius_budegassa_adu",-0.01,0.993,0
"Illex_coindetii","Lophius_budegassa_adu",-0.01,0.96,0
"Nephrops_norvegicus_adu","Eledone_cirrhosa_juv",-0.01,0.993,0.01
"Trachurus_trachurus_adu","Eledone_cirrhosa_juv",-0.01,0.895,0.01
"Loligo_vulgaris","Eledone_cirrhosa_juv",-0.01,0.902,0.01
"Trachurus_mediterraneus_juv","Lophius_budegassa_adu",-0.01,0.84,0.01
"Micromesistius_poutassou","Lophius_budegassa_adu",-0.01,0.903,0.01
"Trachurus_mediterraneus_juv","Eledone_cirrhosa_juv",-0.01,0.765,-0.02
"Trachurus_trachurus_juv","Eledone_cirrhosa_juv",-0.01,0.804,-0.03
"Trachurus_mediterraneus_adu","Eledone_cirrhosa_juv",-0.01,0.785,-0.03
"Trisopterus_capelanus_adu","Eledone_cirrhosa_juv",-0.01,0.893,-0.03
"Pagellus_bogaraveo","Eledone_cirrhosa_juv",-0.01,0.689,0.03
"Phycis_blennoides_juv","Lophius_budegassa_juv",-0.01,0.882,0.03
"Helicolenus_dactylopterus_juv","Lophius_budegassa_adu",-0.01,0.811,-0.03
"Lophius_piscatorius","Eledone_cirrhosa_juv",-0.01,0.785,0.04
"Eledone_cirrhosa_juv","Lophius_budegassa_adu",-0.01,0.801,-0.04
"Octopus_vulgaris","Lophius_budegassa_adu",-0.01,0.831,-0.04
"Lophius_budegassa_adu","Eledone_cirrhosa_juv",-0.01,0.803,-0.05
"Eutrigla_gurnardus_adu","Lophius_budegassa_juv",-0.01,0.834,0.05
"Lophius_piscatorius","Lophius_budegassa_juv",-0.01,0.875,-0.05
"Mullus_barbatus_adu","Eledone_cirrhosa_juv",-0.01,0.752,-0.06
"Eledone_cirrhosa_adu","Lophius_budegassa_juv",-0.01,0.816,-0.07
"Phycis_blennoides_adu","Lophius_budegassa_adu",-0.01,0.77,0.07
"Eutrigla_gurnardus_juv","Eledone_cirrhosa_juv",-0.01,0.722,-0.08
"Phycis_blennoides_adu","Eledone_cirrhosa_juv",-0.01,0.749,-0.08
"Eledone_cirrhosa_adu","Eledone_cirrhosa_juv",-0.01,0.746,0.09
"Merluccius_merluccius_adu","Lophius_budegassa_juv",-0.01,0.792,-0.09
"Eutrigla_gurnardus_adu","Mullus_barbatus_adu",-0.01,0.456,-0.12
"Eutrigla_gurnardus_juv","Mullus_barbatus_adu",-0.01,0.4,0.16
"Trachurus_mediterraneus_juv","Mullus_barbatus_adu",-0.02,0.483,0.04
"Citharus_linguatula","Mullus_barbatus_adu",-0.02,0.466,-0.09
"Pagellus_erythrinus","Mullus_barbatus_adu",-0.02,0.505,0.09
