"X","Y","Leng_T.series","Effect_sens","lag","i","j","P_val_WT","Effect_Size","Coef_b11","Coef_b21","Coef_a1"
"Eledone_cirrhosa_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,11,15,0.495,0.02,0.13,-0.13,-0.11
"Eutrigla_gurnardus_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,12,15,0.004,0.35,0.38,-0.26,-0.11
"Helicolenus_dactylopterus_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,13,15,0.895,0,0.03,-0.12,-0.11
"Lophius_budegassa_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,14,15,0.016,0.24,0.43,-0.34,-0.11
"Mullus_barbatus_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,16,15,0.142,0.09,-0.19,-0.15,-0.11
"Nephrops_norvegicus_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,17,15,0.367,0.03,0.2,-0.2,-0.11
"Phycis_blennoides_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,18,15,0.834,0,0.05,-0.13,-0.11
"Trachurus_mediterraneus_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,19,15,0.233,0.06,-0.1,-0.05,-0.11
"Trachurus_trachurus_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,20,15,0.449,0.02,-0.06,-0.11,-0.11
"Trisopterus_capelanus_adu","Merluccius_merluccius_adu",28,"x_cause_y",1,21,15,0.214,0.07,0.25,-0.21,-0.11
"Sardina_pilchardus","Merluccius_merluccius_adu",27,"x_cause_y",1,22,15,0.841,0,0.04,-0.1,-0.11
"Engraulis_encrasicolus","Merluccius_merluccius_adu",27,"x_cause_y",1,23,15,0.069,0.15,-0.35,-0.09,-0.11
"Citharus_linguatula","Merluccius_merluccius_adu",28,"x_cause_y",1,24,15,0.036,0.19,0.24,-0.24,-0.11
"Illex_coindetii","Merluccius_merluccius_adu",28,"x_cause_y",1,25,15,0.831,0,-0.02,-0.12,-0.11
"Lepidorhombus_boscii","Merluccius_merluccius_adu",28,"x_cause_y",1,26,15,0.304,0.04,0.3,-0.2,-0.11
"Loligo_vulgaris","Merluccius_merluccius_adu",28,"x_cause_y",1,27,15,0.649,0.01,0.02,-0.1,-0.11
"Lophius_piscatorius","Merluccius_merluccius_adu",28,"x_cause_y",1,28,15,0.572,0.01,0.07,-0.12,-0.11
"Micromesistius_poutassou","Merluccius_merluccius_adu",28,"x_cause_y",1,29,15,0.501,0.02,-0.05,-0.12,-0.11
"Mullus_surmuletus","Merluccius_merluccius_adu",28,"x_cause_y",1,30,15,0.821,0,-0.04,-0.11,-0.11
"Octopus_vulgaris","Merluccius_merluccius_adu",28,"x_cause_y",1,31,15,0.767,0,0.06,-0.11,-0.11
"Pagellus_acarne","Merluccius_merluccius_adu",28,"x_cause_y",1,32,15,0.822,0,0.02,-0.12,-0.11
"Pagellus_bogaraveo","Merluccius_merluccius_adu",28,"x_cause_y",1,33,15,0.378,0.03,-0.06,-0.14,-0.11
